start,bugzilla,total,end
2018-02-05,0,0,2018-02-12
2018-01-29,4,4,2018-02-05
2018-01-22,4,4,2018-01-29
2018-01-15,15,15,2018-01-22
2018-01-08,7,7,2018-01-15
2018-01-01,2,2,2018-01-08
2017-12-25,2,2,2018-01-01
2017-12-18,18,18,2017-12-25
2017-12-11,17,17,2017-12-18
2017-12-04,10,10,2017-12-11
2017-11-27,18,18,2017-12-04
2017-11-20,26,26,2017-11-27
2017-11-13,9,9,2017-11-20
2017-11-06,8,8,2017-11-13
2017-10-30,12,12,2017-11-06
2017-10-23,11,11,2017-10-30
2017-10-16,10,10,2017-10-23
2017-10-09,16,16,2017-10-16
2017-10-02,32,32,2017-10-09
2017-09-25,29,29,2017-10-02
2017-09-18,14,14,2017-09-25
2017-09-11,43,43,2017-09-18
2017-09-04,13,13,2017-09-11
2017-08-28,15,15,2017-09-04
2017-08-21,13,13,2017-08-28
2017-08-14,8,8,2017-08-21
2017-08-07,10,10,2017-08-14
2017-07-31,13,13,2017-08-07
2017-07-24,9,9,2017-07-31
2017-07-17,7,7,2017-07-24
2017-07-10,12,12,2017-07-17
2017-07-03,32,32,2017-07-10
2017-06-26,9,9,2017-07-03
2017-06-19,18,18,2017-06-26
2017-06-12,7,7,2017-06-19
2017-06-05,7,7,2017-06-12
2017-05-29,7,7,2017-06-05
2017-05-22,10,10,2017-05-29
2017-05-15,22,22,2017-05-22
2017-05-08,15,15,2017-05-15
2017-05-01,16,16,2017-05-08
2017-04-24,11,11,2017-05-01
2017-04-17,11,11,2017-04-24
2017-04-10,9,9,2017-04-17
2017-04-03,13,13,2017-04-10
2017-03-27,11,11,2017-04-03
2017-03-20,12,12,2017-03-27
2017-03-13,13,13,2017-03-20
2017-03-06,18,18,2017-03-13
2017-02-27,15,15,2017-03-06
2017-02-20,9,9,2017-02-27
2017-02-13,14,14,2017-02-20
2017-02-06,12,12,2017-02-13
2017-01-30,11,11,2017-02-06
2017-01-23,10,10,2017-01-30
2017-01-16,16,16,2017-01-23
2017-01-09,11,11,2017-01-16
2017-01-02,14,14,2017-01-09
2016-12-26,3,3,2017-01-02
2016-12-19,11,11,2016-12-26
2016-12-12,9,9,2016-12-19
2016-12-05,9,9,2016-12-12
2016-11-28,12,12,2016-12-05
2016-11-21,18,18,2016-11-28
2016-11-14,20,20,2016-11-21
2016-11-07,7,7,2016-11-14
2016-10-31,9,9,2016-11-07
2016-10-24,12,12,2016-10-31
2016-10-17,14,14,2016-10-24
2016-10-10,15,15,2016-10-17
2016-10-03,13,13,2016-10-10
2016-09-26,16,16,2016-10-03
2016-09-19,8,8,2016-09-26
2016-09-12,12,12,2016-09-19
2016-09-05,14,14,2016-09-12
2016-08-29,15,15,2016-09-05
2016-08-22,14,14,2016-08-29
2016-08-15,32,32,2016-08-22
2016-08-08,35,35,2016-08-15
2016-08-01,22,22,2016-08-08
2016-07-25,19,19,2016-08-01
2016-07-18,23,23,2016-07-25
2016-07-11,17,17,2016-07-18
2016-07-04,20,20,2016-07-11
2016-06-27,27,27,2016-07-04
2016-06-20,10,10,2016-06-27
2016-06-13,16,16,2016-06-20
2016-06-06,31,31,2016-06-13
2016-05-30,31,31,2016-06-06
2016-05-23,18,18,2016-05-30
2016-05-16,20,20,2016-05-23
2016-05-09,30,30,2016-05-16
2016-05-02,23,23,2016-05-09
2016-04-25,25,25,2016-05-02
2016-04-18,26,26,2016-04-25
2016-04-11,9,9,2016-04-18
2016-04-04,13,13,2016-04-11
2016-03-28,25,25,2016-04-04
2016-03-21,12,12,2016-03-28
2016-03-14,25,25,2016-03-21
2016-03-07,16,16,2016-03-14
2016-02-29,39,39,2016-03-07
2016-02-22,30,30,2016-02-29
2016-02-15,22,22,2016-02-22
2016-02-08,12,12,2016-02-15
2016-02-01,12,12,2016-02-08
2016-01-25,19,19,2016-02-01
2016-01-18,7,7,2016-01-25
2016-01-11,16,16,2016-01-18
2016-01-04,15,15,2016-01-11
2015-12-28,6,6,2016-01-04
