total,start,bugzilla,github,end
0,2017-07-10,0,0,2017-07-17
0,2017-07-03,0,0,2017-07-10
2,2017-06-26,2,0,2017-07-03
1,2017-06-19,1,0,2017-06-26
0,2017-06-12,0,0,2017-06-19
1,2017-06-05,1,0,2017-06-12
2,2017-05-29,1,1,2017-06-05
1,2017-05-22,0,1,2017-05-29
1,2017-05-15,1,0,2017-05-22
2,2017-05-08,1,1,2017-05-15
4,2017-05-01,2,2,2017-05-08
1,2017-04-24,1,0,2017-05-01
0,2017-04-17,0,0,2017-04-24
1,2017-04-10,1,0,2017-04-17
1,2017-04-03,1,0,2017-04-10
0,2017-03-27,0,0,2017-04-03
1,2017-03-20,0,1,2017-03-27
0,2017-03-13,0,0,2017-03-20
0,2017-03-06,0,0,2017-03-13
1,2017-02-27,1,0,2017-03-06
1,2017-02-20,0,1,2017-02-27
0,2017-02-13,0,0,2017-02-20
1,2017-02-06,0,1,2017-02-13
0,2017-01-30,0,0,2017-02-06
1,2017-01-23,0,1,2017-01-30
0,2017-01-16,0,0,2017-01-23
2,2017-01-09,0,2,2017-01-16
0,2017-01-02,0,0,2017-01-09
0,2016-12-26,0,0,2017-01-02
0,2016-12-19,0,0,2016-12-26
2,2016-12-12,0,2,2016-12-19
1,2016-12-05,1,0,2016-12-12
0,2016-11-28,0,0,2016-12-05
0,2016-11-21,0,0,2016-11-28
0,2016-11-14,0,0,2016-11-21
1,2016-11-07,0,1,2016-11-14
1,2016-10-31,1,0,2016-11-07
2,2016-10-24,2,0,2016-10-31
1,2016-10-17,1,0,2016-10-24
1,2016-10-10,1,0,2016-10-17
1,2016-10-03,1,0,2016-10-10
0,2016-09-26,0,0,2016-10-03
0,2016-09-19,0,0,2016-09-26
1,2016-09-12,0,1,2016-09-19
0,2016-09-05,0,0,2016-09-12
3,2016-08-29,1,2,2016-09-05
1,2016-08-22,0,1,2016-08-29
0,2016-08-15,0,0,2016-08-22
1,2016-08-08,0,1,2016-08-15
1,2016-08-01,0,1,2016-08-08
0,2016-07-25,0,0,2016-08-01
1,2016-07-18,0,1,2016-07-25
2,2016-07-11,2,0,2016-07-18
1,2016-07-04,1,0,2016-07-11
4,2016-06-27,1,3,2016-07-04
4,2016-06-20,0,4,2016-06-27
0,2016-06-13,0,0,2016-06-20
1,2016-06-06,0,1,2016-06-13
3,2016-05-30,0,3,2016-06-06
2,2016-05-23,1,1,2016-05-30
2,2016-05-16,0,2,2016-05-23
9,2016-05-09,0,9,2016-05-16
3,2016-05-02,0,3,2016-05-09
3,2016-04-25,0,3,2016-05-02
6,2016-04-18,1,5,2016-04-25
5,2016-04-11,0,5,2016-04-18
1,2016-04-04,0,1,2016-04-11
0,2016-03-28,0,0,2016-04-04
0,2016-03-21,0,0,2016-03-28
1,2016-03-14,1,0,2016-03-21
4,2016-03-07,3,1,2016-03-14
6,2016-02-29,5,1,2016-03-07
3,2016-02-22,1,2,2016-02-29
2,2016-02-15,2,0,2016-02-22
0,2016-02-08,0,0,2016-02-15
0,2016-02-01,0,0,2016-02-08
0,2016-01-25,0,0,2016-02-01
1,2016-01-18,0,1,2016-01-25
1,2016-01-11,0,1,2016-01-18
5,2016-01-04,3,2,2016-01-11
2,2015-12-28,1,1,2016-01-04
