total,start,bugzilla,github,end
0,2017-07-10,0,0,2017-07-17
3,2017-07-03,3,0,2017-07-10
5,2017-06-26,5,0,2017-07-03
2,2017-06-19,2,0,2017-06-26
4,2017-06-12,4,0,2017-06-19
3,2017-06-05,3,0,2017-06-12
1,2017-05-29,1,0,2017-06-05
0,2017-05-22,0,0,2017-05-29
2,2017-05-15,2,0,2017-05-22
5,2017-05-08,5,0,2017-05-15
3,2017-05-01,3,0,2017-05-08
6,2017-04-24,6,0,2017-05-01
6,2017-04-17,6,0,2017-04-24
6,2017-04-10,6,0,2017-04-17
0,2017-04-03,0,0,2017-04-10
4,2017-03-27,4,0,2017-04-03
3,2017-03-20,3,0,2017-03-27
5,2017-03-13,5,0,2017-03-20
6,2017-03-06,6,0,2017-03-13
5,2017-02-27,5,0,2017-03-06
5,2017-02-20,5,0,2017-02-27
6,2017-02-13,6,0,2017-02-20
6,2017-02-06,6,0,2017-02-13
10,2017-01-30,10,0,2017-02-06
9,2017-01-23,9,0,2017-01-30
3,2017-01-16,3,0,2017-01-23
3,2017-01-09,3,0,2017-01-16
2,2017-01-02,2,0,2017-01-09
1,2016-12-26,1,0,2017-01-02
0,2016-12-19,0,0,2016-12-26
1,2016-12-12,1,0,2016-12-19
0,2016-12-05,0,0,2016-12-12
1,2016-11-28,1,0,2016-12-05
1,2016-11-21,1,0,2016-11-28
4,2016-11-14,4,0,2016-11-21
2,2016-11-07,2,0,2016-11-14
0,2016-10-31,0,0,2016-11-07
1,2016-10-24,1,0,2016-10-31
3,2016-10-17,3,0,2016-10-24
2,2016-10-10,2,0,2016-10-17
3,2016-10-03,3,0,2016-10-10
1,2016-09-26,1,0,2016-10-03
1,2016-09-19,1,0,2016-09-26
2,2016-09-12,2,0,2016-09-19
2,2016-09-05,2,0,2016-09-12
0,2016-08-29,0,0,2016-09-05
2,2016-08-22,2,0,2016-08-29
0,2016-08-15,0,0,2016-08-22
6,2016-08-08,6,0,2016-08-15
3,2016-08-01,3,0,2016-08-08
0,2016-07-25,0,0,2016-08-01
3,2016-07-18,3,0,2016-07-25
4,2016-07-11,4,0,2016-07-18
5,2016-07-04,5,0,2016-07-11
2,2016-06-27,2,0,2016-07-04
2,2016-06-20,2,0,2016-06-27
4,2016-06-13,4,0,2016-06-20
6,2016-06-06,6,0,2016-06-13
3,2016-05-30,3,0,2016-06-06
1,2016-05-23,1,0,2016-05-30
1,2016-05-16,1,0,2016-05-23
0,2016-05-09,0,0,2016-05-16
0,2016-05-02,0,0,2016-05-09
3,2016-04-25,3,0,2016-05-02
6,2016-04-18,6,0,2016-04-25
1,2016-04-11,1,0,2016-04-18
4,2016-04-04,4,0,2016-04-11
2,2016-03-28,2,0,2016-04-04
2,2016-03-21,2,0,2016-03-28
4,2016-03-14,4,0,2016-03-21
2,2016-03-07,2,0,2016-03-14
8,2016-02-29,8,0,2016-03-07
5,2016-02-22,5,0,2016-02-29
1,2016-02-15,1,0,2016-02-22
3,2016-02-08,3,0,2016-02-15
2,2016-02-01,2,0,2016-02-08
2,2016-01-25,2,0,2016-02-01
0,2016-01-18,0,0,2016-01-25
0,2016-01-11,0,0,2016-01-18
0,2016-01-04,0,0,2016-01-11
0,2015-12-28,0,0,2016-01-04
