total,start,bugzilla,github,end
0,2017-07-10,0,0,2017-07-17
1,2017-07-03,1,0,2017-07-10
6,2017-06-26,6,0,2017-07-03
5,2017-06-19,5,0,2017-06-26
5,2017-06-12,5,0,2017-06-19
1,2017-06-05,1,0,2017-06-12
3,2017-05-29,3,0,2017-06-05
5,2017-05-22,5,0,2017-05-29
0,2017-05-15,0,0,2017-05-22
1,2017-05-08,1,0,2017-05-15
2,2017-05-01,2,0,2017-05-08
4,2017-04-24,4,0,2017-05-01
1,2017-04-17,1,0,2017-04-24
2,2017-04-10,2,0,2017-04-17
0,2017-04-03,0,0,2017-04-10
3,2017-03-27,3,0,2017-04-03
0,2017-03-20,0,0,2017-03-27
1,2017-03-13,1,0,2017-03-20
2,2017-03-06,2,0,2017-03-13
1,2017-02-27,1,0,2017-03-06
3,2017-02-20,3,0,2017-02-27
2,2017-02-13,2,0,2017-02-20
1,2017-02-06,1,0,2017-02-13
0,2017-01-30,0,0,2017-02-06
1,2017-01-23,1,0,2017-01-30
2,2017-01-16,2,0,2017-01-23
1,2017-01-09,1,0,2017-01-16
0,2017-01-02,0,0,2017-01-09
0,2016-12-26,0,0,2017-01-02
1,2016-12-19,1,0,2016-12-26
0,2016-12-12,0,0,2016-12-19
1,2016-12-05,1,0,2016-12-12
4,2016-11-28,4,0,2016-12-05
2,2016-11-21,2,0,2016-11-28
1,2016-11-14,1,0,2016-11-21
4,2016-11-07,4,0,2016-11-14
6,2016-10-31,6,0,2016-11-07
3,2016-10-24,3,0,2016-10-31
1,2016-10-17,1,0,2016-10-24
1,2016-10-10,1,0,2016-10-17
2,2016-10-03,2,0,2016-10-10
1,2016-09-26,1,0,2016-10-03
4,2016-09-19,4,0,2016-09-26
1,2016-09-12,1,0,2016-09-19
4,2016-09-05,4,0,2016-09-12
3,2016-08-29,3,0,2016-09-05
1,2016-08-22,1,0,2016-08-29
2,2016-08-15,2,0,2016-08-22
1,2016-08-08,1,0,2016-08-15
0,2016-08-01,0,0,2016-08-08
0,2016-07-25,0,0,2016-08-01
1,2016-07-18,1,0,2016-07-25
0,2016-07-11,0,0,2016-07-18
1,2016-07-04,1,0,2016-07-11
1,2016-06-27,1,0,2016-07-04
1,2016-06-20,1,0,2016-06-27
3,2016-06-13,3,0,2016-06-20
9,2016-06-06,8,1,2016-06-13
8,2016-05-30,8,0,2016-06-06
2,2016-05-23,2,0,2016-05-30
3,2016-05-16,3,0,2016-05-23
2,2016-05-09,2,0,2016-05-16
2,2016-05-02,2,0,2016-05-09
6,2016-04-25,6,0,2016-05-02
7,2016-04-18,7,0,2016-04-25
1,2016-04-11,1,0,2016-04-18
4,2016-04-04,4,0,2016-04-11
5,2016-03-28,5,0,2016-04-04
1,2016-03-21,1,0,2016-03-28
3,2016-03-14,3,0,2016-03-21
5,2016-03-07,5,0,2016-03-14
5,2016-02-29,5,0,2016-03-07
9,2016-02-22,9,0,2016-02-29
2,2016-02-15,2,0,2016-02-22
0,2016-02-08,0,0,2016-02-15
1,2016-02-01,1,0,2016-02-08
2,2016-01-25,1,1,2016-02-01
5,2016-01-18,4,1,2016-01-25
2,2016-01-11,2,0,2016-01-18
7,2016-01-04,7,0,2016-01-11
0,2015-12-28,0,0,2016-01-04
