total,start,bugzilla,github,end
2,2017-07-10,0,2,2017-07-17
2,2017-07-03,0,2,2017-07-10
3,2017-06-26,0,3,2017-07-03
4,2017-06-19,0,4,2017-06-26
4,2017-06-12,0,4,2017-06-19
4,2017-06-05,0,4,2017-06-12
3,2017-05-29,0,3,2017-06-05
6,2017-05-22,0,6,2017-05-29
2,2017-05-15,0,2,2017-05-22
4,2017-05-08,0,4,2017-05-15
4,2017-05-01,0,4,2017-05-08
4,2017-04-24,0,4,2017-05-01
3,2017-04-17,0,3,2017-04-24
2,2017-04-10,0,2,2017-04-17
2,2017-04-03,0,2,2017-04-10
4,2017-03-27,0,4,2017-04-03
7,2017-03-20,0,7,2017-03-27
2,2017-03-13,0,2,2017-03-20
6,2017-03-06,0,6,2017-03-13
8,2017-02-27,1,7,2017-03-06
8,2017-02-20,0,8,2017-02-27
3,2017-02-13,0,3,2017-02-20
7,2017-02-06,0,7,2017-02-13
2,2017-01-30,0,2,2017-02-06
3,2017-01-23,0,3,2017-01-30
1,2017-01-16,0,1,2017-01-23
1,2017-01-09,0,1,2017-01-16
2,2017-01-02,0,2,2017-01-09
0,2016-12-26,0,0,2017-01-02
1,2016-12-19,0,1,2016-12-26
0,2016-12-12,0,0,2016-12-19
1,2016-12-05,0,1,2016-12-12
1,2016-11-28,0,1,2016-12-05
1,2016-11-21,0,1,2016-11-28
2,2016-11-14,0,2,2016-11-21
4,2016-11-07,0,4,2016-11-14
1,2016-10-31,0,1,2016-11-07
0,2016-10-24,0,0,2016-10-31
2,2016-10-17,0,2,2016-10-24
1,2016-10-10,0,1,2016-10-17
1,2016-10-03,0,1,2016-10-10
2,2016-09-26,0,2,2016-10-03
2,2016-09-19,0,2,2016-09-26
1,2016-09-12,0,1,2016-09-19
1,2016-09-05,0,1,2016-09-12
1,2016-08-29,0,1,2016-09-05
0,2016-08-22,0,0,2016-08-29
3,2016-08-15,0,3,2016-08-22
0,2016-08-08,0,0,2016-08-15
4,2016-08-01,1,3,2016-08-08
4,2016-07-25,0,4,2016-08-01
2,2016-07-18,0,2,2016-07-25
2,2016-07-11,0,2,2016-07-18
2,2016-07-04,0,2,2016-07-11
6,2016-06-27,0,6,2016-07-04
5,2016-06-20,0,5,2016-06-27
0,2016-06-13,0,0,2016-06-20
3,2016-06-06,2,1,2016-06-13
1,2016-05-30,1,0,2016-06-06
1,2016-05-23,1,0,2016-05-30
3,2016-05-16,3,0,2016-05-23
4,2016-05-09,2,2,2016-05-16
3,2016-05-02,0,3,2016-05-09
0,2016-04-25,0,0,2016-05-02
2,2016-04-18,1,1,2016-04-25
2,2016-04-11,2,0,2016-04-18
2,2016-04-04,0,2,2016-04-11
2,2016-03-28,0,2,2016-04-04
4,2016-03-21,0,4,2016-03-28
4,2016-03-14,4,0,2016-03-21
5,2016-03-07,3,2,2016-03-14
5,2016-02-29,0,5,2016-03-07
6,2016-02-22,0,6,2016-02-29
6,2016-02-15,0,6,2016-02-22
1,2016-02-08,0,1,2016-02-15
4,2016-02-01,1,3,2016-02-08
7,2016-01-25,0,7,2016-02-01
9,2016-01-18,1,8,2016-01-25
2,2016-01-11,1,1,2016-01-18
3,2016-01-04,0,3,2016-01-11
1,2015-12-28,0,1,2016-01-04
