total,start,bugzilla,github,end
10,2017-07-10,0,10,2017-07-17
13,2017-07-03,0,13,2017-07-10
15,2017-06-26,0,15,2017-07-03
12,2017-06-19,0,12,2017-06-26
30,2017-06-12,0,30,2017-06-19
13,2017-06-05,0,13,2017-06-12
17,2017-05-29,0,17,2017-06-05
22,2017-05-22,0,22,2017-05-29
17,2017-05-15,0,17,2017-05-22
18,2017-05-08,0,18,2017-05-15
14,2017-05-01,0,14,2017-05-08
14,2017-04-24,0,14,2017-05-01
39,2017-04-17,0,39,2017-04-24
14,2017-04-10,0,14,2017-04-17
21,2017-04-03,0,21,2017-04-10
16,2017-03-27,0,16,2017-04-03
24,2017-03-20,0,24,2017-03-27
4,2017-03-13,0,4,2017-03-20
30,2017-03-06,0,30,2017-03-13
29,2017-02-27,0,29,2017-03-06
14,2017-02-20,0,14,2017-02-27
30,2017-02-13,7,23,2017-02-20
18,2017-02-06,0,18,2017-02-13
13,2017-01-30,0,13,2017-02-06
19,2017-01-23,1,18,2017-01-30
17,2017-01-16,0,17,2017-01-23
17,2017-01-09,0,17,2017-01-16
23,2017-01-02,0,23,2017-01-09
4,2016-12-26,0,4,2017-01-02
8,2016-12-19,0,8,2016-12-26
12,2016-12-12,0,12,2016-12-19
2,2016-12-05,0,2,2016-12-12
7,2016-11-28,0,7,2016-12-05
8,2016-11-21,0,8,2016-11-28
10,2016-11-14,0,10,2016-11-21
9,2016-11-07,0,9,2016-11-14
9,2016-10-31,0,9,2016-11-07
11,2016-10-24,0,11,2016-10-31
13,2016-10-17,0,13,2016-10-24
22,2016-10-10,0,22,2016-10-17
29,2016-10-03,0,29,2016-10-10
16,2016-09-26,0,16,2016-10-03
23,2016-09-19,0,23,2016-09-26
18,2016-09-12,0,18,2016-09-19
4,2016-09-05,0,4,2016-09-12
12,2016-08-29,0,12,2016-09-05
9,2016-08-22,0,9,2016-08-29
13,2016-08-15,0,13,2016-08-22
9,2016-08-08,0,9,2016-08-15
20,2016-08-01,0,20,2016-08-08
18,2016-07-25,0,18,2016-08-01
15,2016-07-18,1,14,2016-07-25
20,2016-07-11,0,20,2016-07-18
21,2016-07-04,0,21,2016-07-11
11,2016-06-27,0,11,2016-07-04
16,2016-06-20,0,16,2016-06-27
6,2016-06-13,0,6,2016-06-20
7,2016-06-06,0,7,2016-06-13
4,2016-05-30,0,4,2016-06-06
1,2016-05-23,0,1,2016-05-30
2,2016-05-16,0,2,2016-05-23
2,2016-05-09,0,2,2016-05-16
3,2016-05-02,0,3,2016-05-09
13,2016-04-25,0,13,2016-05-02
16,2016-04-18,0,16,2016-04-25
4,2016-04-11,0,4,2016-04-18
22,2016-04-04,0,22,2016-04-11
4,2016-03-28,0,4,2016-04-04
21,2016-03-21,0,21,2016-03-28
5,2016-03-14,1,4,2016-03-21
8,2016-03-07,0,8,2016-03-14
21,2016-02-29,0,21,2016-03-07
11,2016-02-22,0,11,2016-02-29
28,2016-02-15,1,27,2016-02-22
27,2016-02-08,0,27,2016-02-15
23,2016-02-01,1,22,2016-02-08
15,2016-01-25,0,15,2016-02-01
11,2016-01-18,0,11,2016-01-25
12,2016-01-11,0,12,2016-01-18
9,2016-01-04,0,9,2016-01-11
7,2015-12-28,0,7,2016-01-04
