total,start,bugzilla,github,end
4,2017-07-10,0,4,2017-07-17
4,2017-07-03,0,4,2017-07-10
7,2017-06-26,0,7,2017-07-03
5,2017-06-19,0,5,2017-06-26
5,2017-06-12,0,5,2017-06-19
6,2017-06-05,0,6,2017-06-12
4,2017-05-29,0,4,2017-06-05
2,2017-05-22,0,2,2017-05-29
2,2017-05-15,0,2,2017-05-22
7,2017-05-08,0,7,2017-05-15
9,2017-05-01,0,9,2017-05-08
8,2017-04-24,0,8,2017-05-01
7,2017-04-17,0,7,2017-04-24
4,2017-04-10,0,4,2017-04-17
10,2017-04-03,0,10,2017-04-10
6,2017-03-27,0,6,2017-04-03
7,2017-03-20,0,7,2017-03-27
1,2017-03-13,0,1,2017-03-20
5,2017-03-06,0,5,2017-03-13
6,2017-02-27,0,6,2017-03-06
7,2017-02-20,0,7,2017-02-27
7,2017-02-13,0,7,2017-02-20
7,2017-02-06,0,7,2017-02-13
7,2017-01-30,0,7,2017-02-06
9,2017-01-23,0,9,2017-01-30
8,2017-01-16,0,8,2017-01-23
4,2017-01-09,0,4,2017-01-16
8,2017-01-02,0,8,2017-01-09
0,2016-12-26,0,0,2017-01-02
1,2016-12-19,0,1,2016-12-26
3,2016-12-12,0,3,2016-12-19
1,2016-12-05,0,1,2016-12-12
1,2016-11-28,0,1,2016-12-05
6,2016-11-21,0,6,2016-11-28
4,2016-11-14,0,4,2016-11-21
0,2016-11-07,0,0,2016-11-14
2,2016-10-31,0,2,2016-11-07
3,2016-10-24,0,3,2016-10-31
3,2016-10-17,0,3,2016-10-24
5,2016-10-10,0,5,2016-10-17
2,2016-10-03,0,2,2016-10-10
6,2016-09-26,0,6,2016-10-03
8,2016-09-19,0,8,2016-09-26
13,2016-09-12,7,6,2016-09-19
5,2016-09-05,0,5,2016-09-12
6,2016-08-29,0,6,2016-09-05
9,2016-08-22,0,9,2016-08-29
5,2016-08-15,0,5,2016-08-22
6,2016-08-08,0,6,2016-08-15
3,2016-08-01,0,3,2016-08-08
4,2016-07-25,0,4,2016-08-01
6,2016-07-18,0,6,2016-07-25
0,2016-07-11,0,0,2016-07-18
0,2016-07-04,0,0,2016-07-11
4,2016-06-27,0,4,2016-07-04
1,2016-06-20,0,1,2016-06-27
0,2016-06-13,0,0,2016-06-20
8,2016-06-06,0,8,2016-06-13
7,2016-05-30,0,7,2016-06-06
11,2016-05-23,0,11,2016-05-30
5,2016-05-16,0,5,2016-05-23
7,2016-05-09,0,7,2016-05-16
5,2016-05-02,0,5,2016-05-09
2,2016-04-25,0,2,2016-05-02
0,2016-04-18,0,0,2016-04-25
6,2016-04-11,0,6,2016-04-18
7,2016-04-04,0,7,2016-04-11
3,2016-03-28,0,3,2016-04-04
5,2016-03-21,2,3,2016-03-28
1,2016-03-14,1,0,2016-03-21
1,2016-03-07,0,1,2016-03-14
7,2016-02-29,4,3,2016-03-07
7,2016-02-22,3,4,2016-02-29
6,2016-02-15,2,4,2016-02-22
0,2016-02-08,0,0,2016-02-15
6,2016-02-01,4,2,2016-02-08
2,2016-01-25,0,2,2016-02-01
7,2016-01-18,2,5,2016-01-25
8,2016-01-11,3,5,2016-01-18
3,2016-01-04,3,0,2016-01-11
2,2015-12-28,2,0,2016-01-04
