total,start,bugzilla,github,end
0,2017-07-10,0,0,2017-07-17
0,2017-07-03,0,0,2017-07-10
1,2017-06-26,0,1,2017-07-03
1,2017-06-19,0,1,2017-06-26
6,2017-06-12,3,3,2017-06-19
5,2017-06-05,4,1,2017-06-12
0,2017-05-29,0,0,2017-06-05
3,2017-05-22,3,0,2017-05-29
0,2017-05-15,0,0,2017-05-22
1,2017-05-08,0,1,2017-05-15
0,2017-05-01,0,0,2017-05-08
3,2017-04-24,1,2,2017-05-01
4,2017-04-17,0,4,2017-04-24
2,2017-04-10,2,0,2017-04-17
1,2017-04-03,0,1,2017-04-10
1,2017-03-27,0,1,2017-04-03
4,2017-03-20,0,4,2017-03-27
2,2017-03-13,0,2,2017-03-20
2,2017-03-06,1,1,2017-03-13
5,2017-02-27,3,2,2017-03-06
2,2017-02-20,0,2,2017-02-27
4,2017-02-13,0,4,2017-02-20
0,2017-02-06,0,0,2017-02-13
0,2017-01-30,0,0,2017-02-06
1,2017-01-23,0,1,2017-01-30
3,2017-01-16,0,3,2017-01-23
4,2017-01-09,0,4,2017-01-16
4,2017-01-02,0,4,2017-01-09
1,2016-12-26,0,1,2017-01-02
0,2016-12-19,0,0,2016-12-26
2,2016-12-12,0,2,2016-12-19
2,2016-12-05,0,2,2016-12-12
1,2016-11-28,0,1,2016-12-05
2,2016-11-21,0,2,2016-11-28
2,2016-11-14,0,2,2016-11-21
3,2016-11-07,0,3,2016-11-14
1,2016-10-31,0,1,2016-11-07
1,2016-10-24,0,1,2016-10-31
5,2016-10-17,0,5,2016-10-24
1,2016-10-10,0,1,2016-10-17
2,2016-10-03,0,2,2016-10-10
2,2016-09-26,0,2,2016-10-03
0,2016-09-19,0,0,2016-09-26
3,2016-09-12,0,3,2016-09-19
1,2016-09-05,0,1,2016-09-12
4,2016-08-29,0,4,2016-09-05
6,2016-08-22,0,6,2016-08-29
3,2016-08-15,0,3,2016-08-22
3,2016-08-08,0,3,2016-08-15
0,2016-08-01,0,0,2016-08-08
5,2016-07-25,0,5,2016-08-01
2,2016-07-18,0,2,2016-07-25
1,2016-07-11,0,1,2016-07-18
0,2016-07-04,0,0,2016-07-11
1,2016-06-27,0,1,2016-07-04
1,2016-06-20,0,1,2016-06-27
1,2016-06-13,0,1,2016-06-20
5,2016-06-06,0,5,2016-06-13
5,2016-05-30,0,5,2016-06-06
4,2016-05-23,0,4,2016-05-30
6,2016-05-16,0,6,2016-05-23
3,2016-05-09,0,3,2016-05-16
6,2016-05-02,0,6,2016-05-09
4,2016-04-25,0,4,2016-05-02
5,2016-04-18,1,4,2016-04-25
2,2016-04-11,0,2,2016-04-18
2,2016-04-04,0,2,2016-04-11
2,2016-03-28,0,2,2016-04-04
4,2016-03-21,0,4,2016-03-28
4,2016-03-14,1,3,2016-03-21
4,2016-03-07,0,4,2016-03-14
5,2016-02-29,0,5,2016-03-07
3,2016-02-22,0,3,2016-02-29
3,2016-02-15,0,3,2016-02-22
7,2016-02-08,0,7,2016-02-15
4,2016-02-01,0,4,2016-02-08
2,2016-01-25,0,2,2016-02-01
7,2016-01-18,1,6,2016-01-25
2,2016-01-11,1,1,2016-01-18
3,2016-01-04,0,3,2016-01-11
3,2015-12-28,0,3,2016-01-04
