total,start,bugzilla,github,end
0,2017-07-10,0,0,2017-07-17
0,2017-07-03,0,0,2017-07-10
6,2017-06-26,0,6,2017-07-03
4,2017-06-19,0,4,2017-06-26
9,2017-06-12,0,9,2017-06-19
5,2017-06-05,0,5,2017-06-12
2,2017-05-29,0,2,2017-06-05
1,2017-05-22,0,1,2017-05-29
1,2017-05-15,0,1,2017-05-22
1,2017-05-08,0,1,2017-05-15
1,2017-05-01,0,1,2017-05-08
5,2017-04-24,0,5,2017-05-01
7,2017-04-17,0,7,2017-04-24
2,2017-04-10,0,2,2017-04-17
3,2017-04-03,0,3,2017-04-10
3,2017-03-27,0,3,2017-04-03
5,2017-03-20,0,5,2017-03-27
5,2017-03-13,0,5,2017-03-20
4,2017-03-06,0,4,2017-03-13
5,2017-02-27,0,5,2017-03-06
1,2017-02-20,0,1,2017-02-27
5,2017-02-13,0,5,2017-02-20
10,2017-02-06,0,10,2017-02-13
3,2017-01-30,0,3,2017-02-06
3,2017-01-23,0,3,2017-01-30
3,2017-01-16,0,3,2017-01-23
15,2017-01-09,0,15,2017-01-16
13,2017-01-02,0,13,2017-01-09
2,2016-12-26,0,2,2017-01-02
3,2016-12-19,0,3,2016-12-26
4,2016-12-12,0,4,2016-12-19
5,2016-12-05,0,5,2016-12-12
5,2016-11-28,0,5,2016-12-05
11,2016-11-21,0,11,2016-11-28
11,2016-11-14,0,11,2016-11-21
3,2016-11-07,0,3,2016-11-14
1,2016-10-31,0,1,2016-11-07
11,2016-10-24,0,11,2016-10-31
16,2016-10-17,0,16,2016-10-24
10,2016-10-10,0,10,2016-10-17
4,2016-10-03,0,4,2016-10-10
8,2016-09-26,0,8,2016-10-03
13,2016-09-19,0,13,2016-09-26
8,2016-09-12,0,8,2016-09-19
2,2016-09-05,0,2,2016-09-12
8,2016-08-29,0,8,2016-09-05
12,2016-08-22,0,12,2016-08-29
4,2016-08-15,0,4,2016-08-22
7,2016-08-08,0,7,2016-08-15
0,2016-08-01,0,0,2016-08-08
8,2016-07-25,0,8,2016-08-01
7,2016-07-18,0,7,2016-07-25
4,2016-07-11,0,4,2016-07-18
15,2016-07-04,0,15,2016-07-11
2,2016-06-27,0,2,2016-07-04
0,2016-06-20,0,0,2016-06-27
6,2016-06-13,0,6,2016-06-20
16,2016-06-06,0,16,2016-06-13
26,2016-05-30,0,26,2016-06-06
10,2016-05-23,0,10,2016-05-30
16,2016-05-16,0,16,2016-05-23
12,2016-05-09,0,12,2016-05-16
12,2016-05-02,0,12,2016-05-09
11,2016-04-25,0,11,2016-05-02
10,2016-04-18,0,10,2016-04-25
7,2016-04-11,0,7,2016-04-18
11,2016-04-04,0,11,2016-04-11
7,2016-03-28,0,7,2016-04-04
9,2016-03-21,0,9,2016-03-28
6,2016-03-14,0,6,2016-03-21
12,2016-03-07,0,12,2016-03-14
19,2016-02-29,0,19,2016-03-07
6,2016-02-22,0,6,2016-02-29
10,2016-02-15,0,10,2016-02-22
11,2016-02-08,0,11,2016-02-15
8,2016-02-01,0,8,2016-02-08
6,2016-01-25,0,6,2016-02-01
15,2016-01-18,0,15,2016-01-25
12,2016-01-11,0,12,2016-01-18
9,2016-01-04,0,9,2016-01-11
5,2015-12-28,0,5,2016-01-04
