total,start,bugzilla,github,end
3,2017-07-10,0,3,2017-07-17
8,2017-07-03,0,8,2017-07-10
13,2017-06-26,0,13,2017-07-03
2,2017-06-19,0,2,2017-06-26
16,2017-06-12,0,16,2017-06-19
9,2017-06-05,0,9,2017-06-12
4,2017-05-29,0,4,2017-06-05
5,2017-05-22,0,5,2017-05-29
2,2017-05-15,0,2,2017-05-22
1,2017-05-08,0,1,2017-05-15
0,2017-05-01,0,0,2017-05-08
2,2017-04-24,0,2,2017-05-01
1,2017-04-17,0,1,2017-04-24
0,2017-04-10,0,0,2017-04-17
2,2017-04-03,0,2,2017-04-10
2,2017-03-27,0,2,2017-04-03
12,2017-03-20,0,12,2017-03-27
4,2017-03-13,0,4,2017-03-20
6,2017-03-06,0,6,2017-03-13
5,2017-02-27,0,5,2017-03-06
13,2017-02-20,0,13,2017-02-27
9,2017-02-13,0,9,2017-02-20
10,2017-02-06,0,10,2017-02-13
1,2017-01-30,0,1,2017-02-06
3,2017-01-23,0,3,2017-01-30
3,2017-01-16,0,3,2017-01-23
4,2017-01-09,0,4,2017-01-16
3,2017-01-02,0,3,2017-01-09
1,2016-12-26,0,1,2017-01-02
1,2016-12-19,0,1,2016-12-26
2,2016-12-12,0,2,2016-12-19
0,2016-12-05,0,0,2016-12-12
3,2016-11-28,0,3,2016-12-05
5,2016-11-21,0,5,2016-11-28
3,2016-11-14,0,3,2016-11-21
2,2016-11-07,0,2,2016-11-14
1,2016-10-31,0,1,2016-11-07
2,2016-10-24,0,2,2016-10-31
2,2016-10-17,0,2,2016-10-24
4,2016-10-10,0,4,2016-10-17
3,2016-10-03,0,3,2016-10-10
5,2016-09-26,0,5,2016-10-03
5,2016-09-19,0,5,2016-09-26
2,2016-09-12,0,2,2016-09-19
1,2016-09-05,0,1,2016-09-12
4,2016-08-29,0,4,2016-09-05
4,2016-08-22,0,4,2016-08-29
2,2016-08-15,0,2,2016-08-22
11,2016-08-08,0,11,2016-08-15
4,2016-08-01,0,4,2016-08-08
1,2016-07-25,0,1,2016-08-01
3,2016-07-18,0,3,2016-07-25
1,2016-07-11,0,1,2016-07-18
0,2016-07-04,0,0,2016-07-11
5,2016-06-27,0,5,2016-07-04
1,2016-06-20,0,1,2016-06-27
0,2016-06-13,0,0,2016-06-20
6,2016-06-06,0,6,2016-06-13
11,2016-05-30,0,11,2016-06-06
9,2016-05-23,0,9,2016-05-30
5,2016-05-16,0,5,2016-05-23
12,2016-05-09,0,12,2016-05-16
0,2016-05-02,0,0,2016-05-09
1,2016-04-25,1,0,2016-05-02
14,2016-04-18,0,14,2016-04-25
16,2016-04-11,0,16,2016-04-18
15,2016-04-04,0,15,2016-04-11
27,2016-03-28,0,27,2016-04-04
13,2016-03-21,1,12,2016-03-28
6,2016-03-14,0,6,2016-03-21
4,2016-03-07,0,4,2016-03-14
4,2016-02-29,0,4,2016-03-07
5,2016-02-22,0,5,2016-02-29
0,2016-02-15,0,0,2016-02-22
3,2016-02-08,0,3,2016-02-15
7,2016-02-01,0,7,2016-02-08
1,2016-01-25,0,1,2016-02-01
9,2016-01-18,0,9,2016-01-25
5,2016-01-11,0,5,2016-01-18
1,2016-01-04,0,1,2016-01-11
0,2015-12-28,0,0,2016-01-04
