total,start,bugzilla,github,end
0,2017-07-10,0,0,2017-07-17
0,2017-07-03,0,0,2017-07-10
0,2017-06-26,0,0,2017-07-03
8,2017-06-19,0,8,2017-06-26
5,2017-06-12,0,5,2017-06-19
3,2017-06-05,0,3,2017-06-12
3,2017-05-29,0,3,2017-06-05
8,2017-05-22,0,8,2017-05-29
0,2017-05-15,0,0,2017-05-22
2,2017-05-08,0,2,2017-05-15
4,2017-05-01,0,4,2017-05-08
4,2017-04-24,0,4,2017-05-01
2,2017-04-17,0,2,2017-04-24
3,2017-04-10,0,3,2017-04-17
3,2017-04-03,0,3,2017-04-10
5,2017-03-27,0,5,2017-04-03
2,2017-03-20,0,2,2017-03-27
0,2017-03-13,0,0,2017-03-20
1,2017-03-06,0,1,2017-03-13
6,2017-02-27,0,6,2017-03-06
1,2017-02-20,0,1,2017-02-27
3,2017-02-13,0,3,2017-02-20
6,2017-02-06,0,6,2017-02-13
3,2017-01-30,0,3,2017-02-06
2,2017-01-23,0,2,2017-01-30
3,2017-01-16,0,3,2017-01-23
5,2017-01-09,0,5,2017-01-16
2,2017-01-02,0,2,2017-01-09
0,2016-12-26,0,0,2017-01-02
3,2016-12-19,0,3,2016-12-26
12,2016-12-12,0,12,2016-12-19
1,2016-12-05,0,1,2016-12-12
1,2016-11-28,0,1,2016-12-05
1,2016-11-21,0,1,2016-11-28
11,2016-11-14,0,11,2016-11-21
3,2016-11-07,0,3,2016-11-14
9,2016-10-31,0,9,2016-11-07
2,2016-10-24,0,2,2016-10-31
5,2016-10-17,0,5,2016-10-24
8,2016-10-10,0,8,2016-10-17
2,2016-10-03,0,2,2016-10-10
2,2016-09-26,0,2,2016-10-03
1,2016-09-19,0,1,2016-09-26
1,2016-09-12,0,1,2016-09-19
2,2016-09-05,0,2,2016-09-12
6,2016-08-29,0,6,2016-09-05
4,2016-08-22,0,4,2016-08-29
2,2016-08-15,0,2,2016-08-22
2,2016-08-08,0,2,2016-08-15
0,2016-08-01,0,0,2016-08-08
3,2016-07-25,0,3,2016-08-01
4,2016-07-18,0,4,2016-07-25
5,2016-07-11,0,5,2016-07-18
1,2016-07-04,0,1,2016-07-11
6,2016-06-27,0,6,2016-07-04
10,2016-06-20,0,10,2016-06-27
0,2016-06-13,0,0,2016-06-20
6,2016-06-06,0,6,2016-06-13
12,2016-05-30,0,12,2016-06-06
7,2016-05-23,0,7,2016-05-30
14,2016-05-16,0,14,2016-05-23
21,2016-05-09,0,21,2016-05-16
14,2016-05-02,0,14,2016-05-09
8,2016-04-25,0,8,2016-05-02
13,2016-04-18,0,13,2016-04-25
8,2016-04-11,0,8,2016-04-18
4,2016-04-04,0,4,2016-04-11
2,2016-03-28,0,2,2016-04-04
2,2016-03-21,0,2,2016-03-28
4,2016-03-14,0,4,2016-03-21
47,2016-03-07,0,47,2016-03-14
5,2016-02-29,0,5,2016-03-07
5,2016-02-22,0,5,2016-02-29
10,2016-02-15,0,10,2016-02-22
5,2016-02-08,0,5,2016-02-15
6,2016-02-01,0,6,2016-02-08
2,2016-01-25,0,2,2016-02-01
12,2016-01-18,0,12,2016-01-25
5,2016-01-11,0,5,2016-01-18
9,2016-01-04,0,9,2016-01-11
4,2015-12-28,0,4,2016-01-04
