total,start,bugzilla,github,end
0,2017-07-10,0,0,2017-07-17
0,2017-07-03,0,0,2017-07-10
0,2017-06-26,0,0,2017-07-03
1,2017-06-19,0,1,2017-06-26
1,2017-06-12,0,1,2017-06-19
0,2017-06-05,0,0,2017-06-12
0,2017-05-29,0,0,2017-06-05
0,2017-05-22,0,0,2017-05-29
0,2017-05-15,0,0,2017-05-22
0,2017-05-08,0,0,2017-05-15
0,2017-05-01,0,0,2017-05-08
1,2017-04-24,0,1,2017-05-01
0,2017-04-17,0,0,2017-04-24
0,2017-04-10,0,0,2017-04-17
0,2017-04-03,0,0,2017-04-10
0,2017-03-27,0,0,2017-04-03
0,2017-03-20,0,0,2017-03-27
0,2017-03-13,0,0,2017-03-20
0,2017-03-06,0,0,2017-03-13
0,2017-02-27,0,0,2017-03-06
0,2017-02-20,0,0,2017-02-27
0,2017-02-13,0,0,2017-02-20
0,2017-02-06,0,0,2017-02-13
0,2017-01-30,0,0,2017-02-06
0,2017-01-23,0,0,2017-01-30
0,2017-01-16,0,0,2017-01-23
0,2017-01-09,0,0,2017-01-16
0,2017-01-02,0,0,2017-01-09
0,2016-12-26,0,0,2017-01-02
1,2016-12-19,0,1,2016-12-26
1,2016-12-12,0,1,2016-12-19
0,2016-12-05,0,0,2016-12-12
0,2016-11-28,0,0,2016-12-05
0,2016-11-21,0,0,2016-11-28
0,2016-11-14,0,0,2016-11-21
0,2016-11-07,0,0,2016-11-14
0,2016-10-31,0,0,2016-11-07
0,2016-10-24,0,0,2016-10-31
0,2016-10-17,0,0,2016-10-24
4,2016-10-10,0,4,2016-10-17
3,2016-10-03,0,3,2016-10-10
2,2016-09-26,0,2,2016-10-03
0,2016-09-19,0,0,2016-09-26
3,2016-09-12,2,1,2016-09-19
2,2016-09-05,1,1,2016-09-12
1,2016-08-29,1,0,2016-09-05
0,2016-08-22,0,0,2016-08-29
0,2016-08-15,0,0,2016-08-22
0,2016-08-08,0,0,2016-08-15
1,2016-08-01,0,1,2016-08-08
0,2016-07-25,0,0,2016-08-01
0,2016-07-18,0,0,2016-07-25
0,2016-07-11,0,0,2016-07-18
0,2016-07-04,0,0,2016-07-11
0,2016-06-27,0,0,2016-07-04
1,2016-06-20,0,1,2016-06-27
2,2016-06-13,1,1,2016-06-20
1,2016-06-06,1,0,2016-06-13
3,2016-05-30,3,0,2016-06-06
3,2016-05-23,2,1,2016-05-30
5,2016-05-16,4,1,2016-05-23
2,2016-05-09,2,0,2016-05-16
2,2016-05-02,2,0,2016-05-09
5,2016-04-25,5,0,2016-05-02
5,2016-04-18,5,0,2016-04-25
0,2016-04-11,0,0,2016-04-18
1,2016-04-04,1,0,2016-04-11
0,2016-03-28,0,0,2016-04-04
2,2016-03-21,2,0,2016-03-28
0,2016-03-14,0,0,2016-03-21
0,2016-03-07,0,0,2016-03-14
1,2016-02-29,0,1,2016-03-07
0,2016-02-22,0,0,2016-02-29
0,2016-02-15,0,0,2016-02-22
0,2016-02-08,0,0,2016-02-15
1,2016-02-01,0,1,2016-02-08
0,2016-01-25,0,0,2016-02-01
0,2016-01-18,0,0,2016-01-25
0,2016-01-11,0,0,2016-01-18
0,2016-01-04,0,0,2016-01-11
1,2015-12-28,1,0,2016-01-04
