total,start,bugzilla,github,end
2,2017-07-10,0,2,2017-07-17
4,2017-07-03,0,4,2017-07-10
3,2017-06-26,0,3,2017-07-03
10,2017-06-19,0,10,2017-06-26
6,2017-06-12,0,6,2017-06-19
3,2017-06-05,0,3,2017-06-12
5,2017-05-29,0,5,2017-06-05
5,2017-05-22,0,5,2017-05-29
7,2017-05-15,0,7,2017-05-22
3,2017-05-08,0,3,2017-05-15
1,2017-05-01,0,1,2017-05-08
3,2017-04-24,0,3,2017-05-01
2,2017-04-17,0,2,2017-04-24
3,2017-04-10,0,3,2017-04-17
5,2017-04-03,0,5,2017-04-10
9,2017-03-27,0,9,2017-04-03
12,2017-03-20,0,12,2017-03-27
3,2017-03-13,0,3,2017-03-20
1,2017-03-06,0,1,2017-03-13
8,2017-02-27,0,8,2017-03-06
2,2017-02-20,0,2,2017-02-27
2,2017-02-13,0,2,2017-02-20
4,2017-02-06,0,4,2017-02-13
4,2017-01-30,0,4,2017-02-06
12,2017-01-23,0,12,2017-01-30
15,2017-01-16,0,15,2017-01-23
12,2017-01-09,0,12,2017-01-16
7,2017-01-02,0,7,2017-01-09
0,2016-12-26,0,0,2017-01-02
0,2016-12-19,0,0,2016-12-26
5,2016-12-12,0,5,2016-12-19
0,2016-12-05,0,0,2016-12-12
3,2016-11-28,0,3,2016-12-05
4,2016-11-21,0,4,2016-11-28
4,2016-11-14,0,4,2016-11-21
5,2016-11-07,0,5,2016-11-14
6,2016-10-31,0,6,2016-11-07
6,2016-10-24,0,6,2016-10-31
0,2016-10-17,0,0,2016-10-24
3,2016-10-10,0,3,2016-10-17
12,2016-10-03,0,12,2016-10-10
3,2016-09-26,0,3,2016-10-03
3,2016-09-19,0,3,2016-09-26
11,2016-09-12,4,7,2016-09-19
4,2016-09-05,0,4,2016-09-12
3,2016-08-29,0,3,2016-09-05
3,2016-08-22,0,3,2016-08-29
0,2016-08-15,0,0,2016-08-22
0,2016-08-08,0,0,2016-08-15
1,2016-08-01,0,1,2016-08-08
2,2016-07-25,0,2,2016-08-01
0,2016-07-18,0,0,2016-07-25
6,2016-07-11,0,6,2016-07-18
5,2016-07-04,0,5,2016-07-11
0,2016-06-27,0,0,2016-07-04
0,2016-06-20,0,0,2016-06-27
0,2016-06-13,0,0,2016-06-20
4,2016-06-06,0,4,2016-06-13
9,2016-05-30,0,9,2016-06-06
10,2016-05-23,0,10,2016-05-30
3,2016-05-16,0,3,2016-05-23
7,2016-05-09,0,7,2016-05-16
10,2016-05-02,0,10,2016-05-09
3,2016-04-25,0,3,2016-05-02
4,2016-04-18,0,4,2016-04-25
7,2016-04-11,1,6,2016-04-18
6,2016-04-04,1,5,2016-04-11
1,2016-03-28,1,0,2016-04-04
2,2016-03-21,0,2,2016-03-28
9,2016-03-14,1,8,2016-03-21
3,2016-03-07,1,2,2016-03-14
6,2016-02-29,0,6,2016-03-07
11,2016-02-22,1,10,2016-02-29
3,2016-02-15,1,2,2016-02-22
1,2016-02-08,0,1,2016-02-15
4,2016-02-01,0,4,2016-02-08
4,2016-01-25,1,3,2016-02-01
5,2016-01-18,2,3,2016-01-25
5,2016-01-11,0,5,2016-01-18
0,2016-01-04,0,0,2016-01-11
0,2015-12-28,0,0,2016-01-04
