total,start,bugzilla,github,end
11,2017-07-10,0,11,2017-07-17
20,2017-07-03,0,20,2017-07-10
20,2017-06-26,0,20,2017-07-03
36,2017-06-19,0,36,2017-06-26
32,2017-06-12,0,32,2017-06-19
19,2017-06-05,0,19,2017-06-12
29,2017-05-29,0,29,2017-06-05
21,2017-05-22,0,21,2017-05-29
23,2017-05-15,0,23,2017-05-22
7,2017-05-08,0,7,2017-05-15
8,2017-05-01,0,8,2017-05-08
22,2017-04-24,0,22,2017-05-01
33,2017-04-17,0,33,2017-04-24
30,2017-04-10,0,30,2017-04-17
36,2017-04-03,0,36,2017-04-10
19,2017-03-27,0,19,2017-04-03
34,2017-03-20,0,34,2017-03-27
33,2017-03-13,0,33,2017-03-20
16,2017-03-06,0,16,2017-03-13
44,2017-02-27,0,44,2017-03-06
26,2017-02-20,0,26,2017-02-27
19,2017-02-13,0,19,2017-02-20
34,2017-02-06,0,34,2017-02-13
31,2017-01-30,0,31,2017-02-06
47,2017-01-23,0,47,2017-01-30
70,2017-01-16,0,70,2017-01-23
24,2017-01-09,0,24,2017-01-16
29,2017-01-02,0,29,2017-01-09
3,2016-12-26,0,3,2017-01-02
2,2016-12-19,0,2,2016-12-26
11,2016-12-12,0,11,2016-12-19
3,2016-12-05,0,3,2016-12-12
8,2016-11-28,0,8,2016-12-05
17,2016-11-21,0,17,2016-11-28
21,2016-11-14,0,21,2016-11-21
12,2016-11-07,0,12,2016-11-14
15,2016-10-31,0,15,2016-11-07
14,2016-10-24,0,14,2016-10-31
12,2016-10-17,0,12,2016-10-24
18,2016-10-10,0,18,2016-10-17
24,2016-10-03,0,24,2016-10-10
17,2016-09-26,0,17,2016-10-03
19,2016-09-19,0,19,2016-09-26
31,2016-09-12,0,31,2016-09-19
29,2016-09-05,0,29,2016-09-12
27,2016-08-29,0,27,2016-09-05
20,2016-08-22,0,20,2016-08-29
7,2016-08-15,0,7,2016-08-22
0,2016-08-08,0,0,2016-08-15
4,2016-08-01,0,4,2016-08-08
23,2016-07-25,0,23,2016-08-01
14,2016-07-18,0,14,2016-07-25
21,2016-07-11,0,21,2016-07-18
19,2016-07-04,0,19,2016-07-11
19,2016-06-27,0,19,2016-07-04
43,2016-06-20,0,43,2016-06-27
38,2016-06-13,0,38,2016-06-20
22,2016-06-06,0,22,2016-06-13
47,2016-05-30,0,47,2016-06-06
41,2016-05-23,0,41,2016-05-30
21,2016-05-16,0,21,2016-05-23
32,2016-05-09,0,32,2016-05-16
38,2016-05-02,0,38,2016-05-09
16,2016-04-25,0,16,2016-05-02
18,2016-04-18,0,18,2016-04-25
24,2016-04-11,0,24,2016-04-18
23,2016-04-04,0,23,2016-04-11
21,2016-03-28,0,21,2016-04-04
16,2016-03-21,0,16,2016-03-28
18,2016-03-14,0,18,2016-03-21
15,2016-03-07,0,15,2016-03-14
15,2016-02-29,0,15,2016-03-07
17,2016-02-22,0,17,2016-02-29
7,2016-02-15,0,7,2016-02-22
14,2016-02-08,0,14,2016-02-15
11,2016-02-01,0,11,2016-02-08
10,2016-01-25,0,10,2016-02-01
14,2016-01-18,0,14,2016-01-25
8,2016-01-11,0,8,2016-01-18
5,2016-01-04,0,5,2016-01-11
2,2015-12-28,0,2,2016-01-04
