total,start,bugzilla,github,end
4,2017-07-10,4,0,2017-07-17
9,2017-07-03,9,0,2017-07-10
4,2017-06-26,4,0,2017-07-03
6,2017-06-19,6,0,2017-06-26
5,2017-06-12,5,0,2017-06-19
12,2017-06-05,12,0,2017-06-12
9,2017-05-29,9,0,2017-06-05
3,2017-05-22,3,0,2017-05-29
12,2017-05-15,12,0,2017-05-22
10,2017-05-08,10,0,2017-05-15
8,2017-05-01,8,0,2017-05-08
6,2017-04-24,6,0,2017-05-01
7,2017-04-17,7,0,2017-04-24
9,2017-04-10,9,0,2017-04-17
5,2017-04-03,5,0,2017-04-10
8,2017-03-27,8,0,2017-04-03
7,2017-03-20,7,0,2017-03-27
7,2017-03-13,7,0,2017-03-20
8,2017-03-06,8,0,2017-03-13
4,2017-02-27,4,0,2017-03-06
4,2017-02-20,4,0,2017-02-27
4,2017-02-13,4,0,2017-02-20
3,2017-02-06,3,0,2017-02-13
2,2017-01-30,2,0,2017-02-06
5,2017-01-23,5,0,2017-01-30
8,2017-01-16,8,0,2017-01-23
2,2017-01-09,2,0,2017-01-16
1,2017-01-02,1,0,2017-01-09
1,2016-12-26,1,0,2017-01-02
5,2016-12-19,5,0,2016-12-26
2,2016-12-12,2,0,2016-12-19
0,2016-12-05,0,0,2016-12-12
4,2016-11-28,4,0,2016-12-05
12,2016-11-21,12,0,2016-11-28
17,2016-11-14,17,0,2016-11-21
14,2016-11-07,14,0,2016-11-14
6,2016-10-31,6,0,2016-11-07
2,2016-10-24,2,0,2016-10-31
5,2016-10-17,5,0,2016-10-24
2,2016-10-10,2,0,2016-10-17
7,2016-10-03,7,0,2016-10-10
6,2016-09-26,6,0,2016-10-03
2,2016-09-19,2,0,2016-09-26
1,2016-09-12,1,0,2016-09-19
2,2016-09-05,2,0,2016-09-12
4,2016-08-29,4,0,2016-09-05
7,2016-08-22,7,0,2016-08-29
8,2016-08-15,8,0,2016-08-22
11,2016-08-08,11,0,2016-08-15
7,2016-08-01,7,0,2016-08-08
8,2016-07-25,8,0,2016-08-01
2,2016-07-18,2,0,2016-07-25
3,2016-07-11,3,0,2016-07-18
0,2016-07-04,0,0,2016-07-11
0,2016-06-27,0,0,2016-07-04
0,2016-06-20,0,0,2016-06-27
2,2016-06-13,2,0,2016-06-20
11,2016-06-06,11,0,2016-06-13
12,2016-05-30,12,0,2016-06-06
2,2016-05-23,2,0,2016-05-30
1,2016-05-16,1,0,2016-05-23
5,2016-05-09,5,0,2016-05-16
2,2016-05-02,2,0,2016-05-09
3,2016-04-25,3,0,2016-05-02
6,2016-04-18,6,0,2016-04-25
0,2016-04-11,0,0,2016-04-18
3,2016-04-04,3,0,2016-04-11
1,2016-03-28,1,0,2016-04-04
3,2016-03-21,3,0,2016-03-28
1,2016-03-14,1,0,2016-03-21
5,2016-03-07,5,0,2016-03-14
14,2016-02-29,14,0,2016-03-07
4,2016-02-22,4,0,2016-02-29
6,2016-02-15,6,0,2016-02-22
5,2016-02-08,5,0,2016-02-15
5,2016-02-01,5,0,2016-02-08
8,2016-01-25,8,0,2016-02-01
5,2016-01-18,4,1,2016-01-25
17,2016-01-11,17,0,2016-01-18
3,2016-01-04,3,0,2016-01-11
2,2015-12-28,2,0,2016-01-04
