total,start,bugzilla,github,end
7,2017-07-10,0,7,2017-07-17
14,2017-07-03,0,14,2017-07-10
16,2017-06-26,0,16,2017-07-03
18,2017-06-19,0,18,2017-06-26
19,2017-06-12,0,19,2017-06-19
13,2017-06-05,0,13,2017-06-12
17,2017-05-29,0,17,2017-06-05
10,2017-05-22,0,10,2017-05-29
15,2017-05-15,0,15,2017-05-22
22,2017-05-08,0,22,2017-05-15
23,2017-05-01,0,23,2017-05-08
22,2017-04-24,0,22,2017-05-01
17,2017-04-17,0,17,2017-04-24
16,2017-04-10,0,16,2017-04-17
21,2017-04-03,0,21,2017-04-10
21,2017-03-27,0,21,2017-04-03
22,2017-03-20,0,22,2017-03-27
13,2017-03-13,0,13,2017-03-20
18,2017-03-06,0,18,2017-03-13
18,2017-02-27,0,18,2017-03-06
12,2017-02-20,0,12,2017-02-27
14,2017-02-13,0,14,2017-02-20
20,2017-02-06,0,20,2017-02-13
22,2017-01-30,0,22,2017-02-06
24,2017-01-23,0,24,2017-01-30
27,2017-01-16,0,27,2017-01-23
11,2017-01-09,0,11,2017-01-16
14,2017-01-02,0,14,2017-01-09
0,2016-12-26,0,0,2017-01-02
1,2016-12-19,0,1,2016-12-26
2,2016-12-12,0,2,2016-12-19
7,2016-12-05,0,7,2016-12-12
17,2016-11-28,0,17,2016-12-05
18,2016-11-21,0,18,2016-11-28
15,2016-11-14,0,15,2016-11-21
12,2016-11-07,0,12,2016-11-14
17,2016-10-31,0,17,2016-11-07
16,2016-10-24,0,16,2016-10-31
17,2016-10-17,0,17,2016-10-24
17,2016-10-10,0,17,2016-10-17
2,2016-10-03,0,2,2016-10-10
10,2016-09-26,0,10,2016-10-03
18,2016-09-19,0,18,2016-09-26
22,2016-09-12,0,22,2016-09-19
15,2016-09-05,0,15,2016-09-12
28,2016-08-29,0,28,2016-09-05
15,2016-08-22,0,15,2016-08-29
12,2016-08-15,0,12,2016-08-22
17,2016-08-08,0,17,2016-08-15
29,2016-08-01,0,29,2016-08-08
23,2016-07-25,0,23,2016-08-01
11,2016-07-18,0,11,2016-07-25
4,2016-07-11,0,4,2016-07-18
1,2016-07-04,0,1,2016-07-11
13,2016-06-27,0,13,2016-07-04
30,2016-06-20,0,30,2016-06-27
37,2016-06-13,0,37,2016-06-20
15,2016-06-06,0,15,2016-06-13
21,2016-05-30,0,21,2016-06-06
30,2016-05-23,0,30,2016-05-30
16,2016-05-16,0,16,2016-05-23
28,2016-05-09,0,28,2016-05-16
18,2016-05-02,0,18,2016-05-09
2,2016-04-25,0,2,2016-05-02
5,2016-04-18,0,5,2016-04-25
11,2016-04-11,0,11,2016-04-18
9,2016-04-04,0,9,2016-04-11
9,2016-03-28,0,9,2016-04-04
15,2016-03-21,0,15,2016-03-28
9,2016-03-14,0,9,2016-03-21
2,2016-03-07,0,2,2016-03-14
14,2016-02-29,0,14,2016-03-07
12,2016-02-22,0,12,2016-02-29
11,2016-02-15,0,11,2016-02-22
7,2016-02-08,0,7,2016-02-15
19,2016-02-01,0,19,2016-02-08
10,2016-01-25,0,10,2016-02-01
12,2016-01-18,0,12,2016-01-25
8,2016-01-11,0,8,2016-01-18
12,2016-01-04,0,12,2016-01-11
8,2015-12-28,0,8,2016-01-04
