total,start,bugzilla,github,end
1,2017-07-10,0,1,2017-07-17
0,2017-07-03,0,0,2017-07-10
2,2017-06-26,0,2,2017-07-03
2,2017-06-19,0,2,2017-06-26
3,2017-06-12,0,3,2017-06-19
1,2017-06-05,1,0,2017-06-12
0,2017-05-29,0,0,2017-06-05
2,2017-05-22,1,1,2017-05-29
3,2017-05-15,1,2,2017-05-22
4,2017-05-08,1,3,2017-05-15
7,2017-05-01,1,6,2017-05-08
8,2017-04-24,1,7,2017-05-01
6,2017-04-17,0,6,2017-04-24
12,2017-04-10,0,12,2017-04-17
2,2017-04-03,0,2,2017-04-10
1,2017-03-27,0,1,2017-04-03
1,2017-03-20,0,1,2017-03-27
2,2017-03-13,0,2,2017-03-20
4,2017-03-06,1,3,2017-03-13
2,2017-02-27,0,2,2017-03-06
0,2017-02-20,0,0,2017-02-27
3,2017-02-13,1,2,2017-02-20
2,2017-02-06,0,2,2017-02-13
5,2017-01-30,1,4,2017-02-06
9,2017-01-23,1,8,2017-01-30
4,2017-01-16,1,3,2017-01-23
3,2017-01-09,0,3,2017-01-16
11,2017-01-02,1,10,2017-01-09
2,2016-12-26,0,2,2017-01-02
2,2016-12-19,0,2,2016-12-26
3,2016-12-12,0,3,2016-12-19
0,2016-12-05,0,0,2016-12-12
2,2016-11-28,0,2,2016-12-05
3,2016-11-21,1,2,2016-11-28
7,2016-11-14,2,5,2016-11-21
8,2016-11-07,1,7,2016-11-14
6,2016-10-31,1,5,2016-11-07
1,2016-10-24,1,0,2016-10-31
4,2016-10-17,0,4,2016-10-24
1,2016-10-10,0,1,2016-10-17
5,2016-10-03,0,5,2016-10-10
3,2016-09-26,2,1,2016-10-03
4,2016-09-19,0,4,2016-09-26
3,2016-09-12,0,3,2016-09-19
1,2016-09-05,0,1,2016-09-12
5,2016-08-29,1,4,2016-09-05
6,2016-08-22,0,6,2016-08-29
2,2016-08-15,0,2,2016-08-22
2,2016-08-08,0,2,2016-08-15
3,2016-08-01,0,3,2016-08-08
11,2016-07-25,0,11,2016-08-01
2,2016-07-18,0,2,2016-07-25
3,2016-07-11,0,3,2016-07-18
5,2016-07-04,0,5,2016-07-11
6,2016-06-27,1,5,2016-07-04
9,2016-06-20,2,7,2016-06-27
2,2016-06-13,1,1,2016-06-20
4,2016-06-06,2,2,2016-06-13
2,2016-05-30,1,1,2016-06-06
3,2016-05-23,1,2,2016-05-30
2,2016-05-16,1,1,2016-05-23
1,2016-05-09,0,1,2016-05-16
2,2016-05-02,1,1,2016-05-09
0,2016-04-25,0,0,2016-05-02
4,2016-04-18,1,3,2016-04-25
0,2016-04-11,0,0,2016-04-18
4,2016-04-04,1,3,2016-04-11
8,2016-03-28,4,4,2016-04-04
4,2016-03-21,0,4,2016-03-28
2,2016-03-14,2,0,2016-03-21
6,2016-03-07,0,6,2016-03-14
7,2016-02-29,2,5,2016-03-07
1,2016-02-22,0,1,2016-02-29
2,2016-02-15,2,0,2016-02-22
4,2016-02-08,2,2,2016-02-15
6,2016-02-01,3,3,2016-02-08
1,2016-01-25,0,1,2016-02-01
1,2016-01-18,1,0,2016-01-25
1,2016-01-11,0,1,2016-01-18
2,2016-01-04,1,1,2016-01-11
1,2015-12-28,0,1,2016-01-04
