total,start,bugzilla,github,end
11,2017-07-10,0,11,2017-07-17
20,2017-07-03,0,20,2017-07-10
13,2017-06-26,0,13,2017-07-03
12,2017-06-19,0,12,2017-06-26
17,2017-06-12,0,17,2017-06-19
19,2017-06-05,0,19,2017-06-12
24,2017-05-29,0,24,2017-06-05
15,2017-05-22,0,15,2017-05-29
13,2017-05-15,0,13,2017-05-22
13,2017-05-08,0,13,2017-05-15
12,2017-05-01,0,12,2017-05-08
5,2017-04-24,0,5,2017-05-01
5,2017-04-17,0,5,2017-04-24
2,2017-04-10,0,2,2017-04-17
5,2017-04-03,0,5,2017-04-10
14,2017-03-27,0,14,2017-04-03
11,2017-03-20,0,11,2017-03-27
15,2017-03-13,0,15,2017-03-20
22,2017-03-06,0,22,2017-03-13
20,2017-02-27,0,20,2017-03-06
14,2017-02-20,0,14,2017-02-27
9,2017-02-13,0,9,2017-02-20
9,2017-02-06,0,9,2017-02-13
12,2017-01-30,0,12,2017-02-06
16,2017-01-23,0,16,2017-01-30
20,2017-01-16,0,20,2017-01-23
24,2017-01-09,0,24,2017-01-16
13,2017-01-02,0,13,2017-01-09
1,2016-12-26,0,1,2017-01-02
1,2016-12-19,0,1,2016-12-26
6,2016-12-12,0,6,2016-12-19
2,2016-12-05,0,2,2016-12-12
1,2016-11-28,0,1,2016-12-05
3,2016-11-21,0,3,2016-11-28
18,2016-11-14,0,18,2016-11-21
14,2016-11-07,0,14,2016-11-14
20,2016-10-31,0,20,2016-11-07
11,2016-10-24,0,11,2016-10-31
18,2016-10-17,0,18,2016-10-24
12,2016-10-10,0,12,2016-10-17
5,2016-10-03,0,5,2016-10-10
12,2016-09-26,0,12,2016-10-03
19,2016-09-19,0,19,2016-09-26
18,2016-09-12,0,18,2016-09-19
17,2016-09-05,0,17,2016-09-12
17,2016-08-29,0,17,2016-09-05
14,2016-08-22,0,14,2016-08-29
19,2016-08-15,0,19,2016-08-22
3,2016-08-08,0,3,2016-08-15
20,2016-08-01,0,20,2016-08-08
14,2016-07-25,0,14,2016-08-01
15,2016-07-18,0,15,2016-07-25
14,2016-07-11,0,14,2016-07-18
24,2016-07-04,0,24,2016-07-11
22,2016-06-27,0,22,2016-07-04
14,2016-06-20,0,14,2016-06-27
10,2016-06-13,0,10,2016-06-20
26,2016-06-06,0,26,2016-06-13
36,2016-05-30,0,36,2016-06-06
24,2016-05-23,0,24,2016-05-30
32,2016-05-16,0,32,2016-05-23
27,2016-05-09,0,27,2016-05-16
23,2016-05-02,0,23,2016-05-09
17,2016-04-25,0,17,2016-05-02
33,2016-04-18,0,33,2016-04-25
36,2016-04-11,0,36,2016-04-18
2,2016-04-04,0,2,2016-04-11
56,2016-03-28,0,56,2016-04-04
17,2016-03-21,0,17,2016-03-28
9,2016-03-14,0,9,2016-03-21
23,2016-03-07,0,23,2016-03-14
23,2016-02-29,0,23,2016-03-07
19,2016-02-22,0,19,2016-02-29
19,2016-02-15,0,19,2016-02-22
21,2016-02-08,0,21,2016-02-15
28,2016-02-01,0,28,2016-02-08
24,2016-01-25,0,24,2016-02-01
26,2016-01-18,0,26,2016-01-25
41,2016-01-11,0,41,2016-01-18
45,2016-01-04,0,45,2016-01-11
6,2015-12-28,0,6,2016-01-04
