start,bugzilla,total,end
2018-02-05,6,6,2018-02-12
2018-01-29,13,13,2018-02-05
2018-01-22,7,7,2018-01-29
2018-01-15,4,4,2018-01-22
2018-01-08,6,6,2018-01-15
2018-01-01,5,5,2018-01-08
2017-12-25,1,1,2018-01-01
2017-12-18,7,7,2017-12-25
2017-12-11,3,3,2017-12-18
2017-12-04,6,6,2017-12-11
2017-11-27,11,11,2017-12-04
2017-11-20,10,10,2017-11-27
2017-11-13,13,13,2017-11-20
2017-11-06,4,4,2017-11-13
2017-10-30,13,13,2017-11-06
2017-10-23,6,6,2017-10-30
2017-10-16,3,3,2017-10-23
2017-10-09,11,11,2017-10-16
2017-10-02,4,4,2017-10-09
2017-09-25,9,9,2017-10-02
2017-09-18,7,7,2017-09-25
2017-09-11,6,6,2017-09-18
2017-09-04,6,6,2017-09-11
2017-08-28,10,10,2017-09-04
2017-08-21,6,6,2017-08-28
2017-08-14,11,11,2017-08-21
2017-08-07,6,6,2017-08-14
2017-07-31,11,11,2017-08-07
2017-07-24,9,9,2017-07-31
2017-07-17,7,7,2017-07-24
2017-07-10,6,6,2017-07-17
2017-07-03,4,4,2017-07-10
2017-06-26,6,6,2017-07-03
2017-06-19,4,4,2017-06-26
2017-06-12,9,9,2017-06-19
2017-06-05,3,3,2017-06-12
2017-05-29,8,8,2017-06-05
2017-05-22,10,10,2017-05-29
2017-05-15,5,5,2017-05-22
2017-05-08,5,5,2017-05-15
2017-05-01,7,7,2017-05-08
2017-04-24,7,7,2017-05-01
2017-04-17,10,10,2017-04-24
2017-04-10,11,11,2017-04-17
2017-04-03,2,2,2017-04-10
2017-03-27,2,2,2017-04-03
2017-03-20,7,7,2017-03-27
2017-03-13,5,5,2017-03-20
2017-03-06,5,5,2017-03-13
2017-02-27,6,6,2017-03-06
2017-02-20,3,3,2017-02-27
2017-02-13,5,5,2017-02-20
2017-02-06,4,4,2017-02-13
2017-01-30,2,2,2017-02-06
2017-01-23,5,5,2017-01-30
2017-01-16,4,4,2017-01-23
2017-01-09,5,5,2017-01-16
2017-01-02,6,6,2017-01-09
2016-12-26,0,0,2017-01-02
2016-12-19,2,2,2016-12-26
2016-12-12,1,1,2016-12-19
2016-12-05,0,0,2016-12-12
2016-11-28,4,4,2016-12-05
2016-11-21,10,10,2016-11-28
2016-11-14,3,3,2016-11-21
2016-11-07,1,1,2016-11-14
2016-10-31,1,1,2016-11-07
2016-10-24,0,0,2016-10-31
2016-10-17,3,3,2016-10-24
2016-10-10,7,7,2016-10-17
2016-10-03,8,8,2016-10-10
2016-09-26,1,1,2016-10-03
2016-09-19,4,4,2016-09-26
2016-09-12,1,1,2016-09-19
2016-09-05,0,0,2016-09-12
2016-08-29,0,0,2016-09-05
2016-08-22,2,2,2016-08-29
2016-08-15,1,1,2016-08-22
2016-08-08,4,4,2016-08-15
2016-08-01,1,1,2016-08-08
2016-07-25,0,0,2016-08-01
2016-07-18,0,0,2016-07-25
2016-07-11,0,0,2016-07-18
2016-07-04,0,0,2016-07-11
2016-06-27,0,0,2016-07-04
2016-06-20,0,0,2016-06-27
2016-06-13,0,0,2016-06-20
2016-06-06,0,0,2016-06-13
2016-05-30,0,0,2016-06-06
2016-05-23,1,1,2016-05-30
2016-05-16,0,0,2016-05-23
2016-05-09,0,0,2016-05-16
2016-05-02,0,0,2016-05-09
2016-04-25,0,0,2016-05-02
2016-04-18,0,0,2016-04-25
2016-04-11,0,0,2016-04-18
2016-04-04,0,0,2016-04-11
2016-03-28,0,0,2016-04-04
2016-03-21,0,0,2016-03-28
2016-03-14,0,0,2016-03-21
2016-03-07,0,0,2016-03-14
2016-02-29,0,0,2016-03-07
2016-02-22,0,0,2016-02-29
2016-02-15,0,0,2016-02-22
2016-02-08,0,0,2016-02-15
2016-02-01,0,0,2016-02-08
2016-01-25,0,0,2016-02-01
2016-01-18,0,0,2016-01-25
2016-01-11,0,0,2016-01-18
2016-01-04,0,0,2016-01-11
2015-12-28,0,0,2016-01-04
